"Search for a brand","Zoek naar een merk"
"Search brand here...","Zoek camera merken hier..."
"All Brands","Alle merken"
Previous,Vorige
Next,Volgende
"Add to Wish List","Naar verlanglijst"
"View Product","Bekijk product"
"Filter %1 in %2 filters","Filter %1 in %2 filters"
" star(s)"," star(s)"
item,item
items,items
"Filter %1 in sidebar","Filter %1 in zijbalk"
lower,lager
upper,bovenste
"Active filtering","Actieve filtering"
"Remove This Item","Verwijder dit item"
"Clear All","Alles wissen"
"Shop By","Winkelen op"
"Placeholder Image Atomik","Placeholder Image Atomik"
"See post","Zie bericht"
"There are no posts matching your selection.","Er zijn geen berichten die aan uw selectie voldoen."
"Select Category","Selecteer categorie"
"Search blogs","Zoek blogs"
Category,Categorie
"%1 filter","%1 filter"
"%1 filter options","%1 filter opties"
"1 product available in filter","1 product beschikbaar in filter"
"%1 products available in filter","%1 producten beschikbaar in filter"
None,Geen
"Please select one of the options.","Selecteer een van de opties."
"-- Please Select --","-- Selecteer alstublieft --"
"Excl. Tax","Excl. BTW"
"We can't find products matching the selection.","We kunnen geen producten vinden die overeenkomen met de selectie."
"Product list","Producten lijst"
Nouveautes,Nouveautes
Promotions,Promoties
"Add to Cart","In winkelwagen"
"Could not add item to wishlist.","Het item kon niet aan de verlanglijst worden toegevoegd."
"%1 has been added to your Wish List.","%1 is toegevoegd aan uw verlanglijstje."
"Items %1-%2 of %3","Items %1-%2 van %3"
"%1 Item","%1 Artikelen"
"%1 Items","%1 Artikelen"
Show,Toon
"Show items per page","Items per pagina weergeven"
"Sort By","Sorteren op"
"Set Ascending Direction","Oplopende richting instellen"
"Set Descending Direction","Aflopende richting instellen"
"Products view mode","Productenweergavemodus"
"Products view mode - %1","Productenweergavemodus - %1"
Details,Details
Description,Omschrijving
Carousel,Carrousel
"Carousel %1","Carrousel %1"
"Navigating through the elements of the carousel is possible using the tab key. You can skip the carousel or go straight to carousel navigation using the skip links.","Navigeren door de elementen van de carrousel is mogelijk met de tab-toets. U kunt de carrousel overslaan of direct naar de carrouselnavigatie gaan met de skip-links.."
